Location	rainDays
Albury	74
BadgerysCreek	71
Cobar	47
CoffsHarbour	105
Moree	48
Newcastle	88
NorahHead	98
NorfolkIsland	112
Penrith	72
Richmond	68
Sydney	95
SydneyAirport	94
WaggaWagga	65
Williamtown	85
Wollongong	86
Canberra	67
Tuggeranong	68
MountGinini	98
Ballarat	94
Bendigo	68
Sale	78
MelbourneAirport	79
Melbourne	73
Mildura	40
Nhil	56
Portland	133
Watsonia	90
Dartmoor	112
Brisbane	81
Cairns	114
GoldCoast	93
Townsville	62
Adelaide	79
MountGambier	111
Nuriootpa	72
Woomera	25
Albany	108
Witchcliffe	107
PearceRAAF	61
PerthAirport	69
Perth	74
SalmonGums	57
Walpole	115
Hobart	87
Launceston	84
AliceSprings	29
Darwin	97
Katherine	61
Uluru	27
