Location	Latitude	Longitude	1 -high	1 -low	2 -high	2 -low	3 -high	3 -low	4 -high	4 -low	5 -high	5 -low	6 -high	6 -low	7 -high	7 -low	8 -high	8 -low	9 -high	9 -low	10 -high	10 -low	11 -high	11 -low	12 -high	12 -low
Albury	-36.0748	146.924	32.9	16.9	31.4	16.7	28	13.8	22.7	9.5	17.4	5.5	14	3.5	13.3	3.7	14.8	3.8	18.2	5.8	22.3	8.3	27.2	12.6	29.5	14.5
BadgerysCreek	-33.9167	150.6833	30.6	17.5	29.2	17.5	27.1	15.7	23.9	12.1	20.8	7.5	17.6	6.3	17.4	4.4	19.3	4.9	22.4	7.8	24.9	10.6	27.7	14.3	28.4	15.9
Cobar	-31.49797	145.8382	35.6	21.6	34	20.7	30.4	17.6	25.8	13.3	20.5	8.9	16.5	6.5	16.1	5.4	18.6	6.4	22.7	9.2	27.5	13	31.3	17	32.7	18.9
CoffsHarbour	-30.296	153.113	27.7	20	27.6	19.8	26.5	18.7	24.5	15.5	22	11.6	19.7	9.8	19.4	8.3	20.8	8.8	23	11.4	24.2	13.9	25.9	17.4	26.7	18.5
Moree	-29.4597	149.835	34.3	20.7	33.9	20.3	31.2	17.9	27.2	13.3	22.7	8.6	18.9	6.4	18.2	5.1	20.4	5.4	24.1	8.9	28.2	12.6	32.5	17.5	33	19.2
Newcastle	-32.9283	151.7817	29.6	19.5	28.8	19.6	27.2	17.8	24.4	14.3	21.3	10.7	18.3	9.2	17.9	7.8	19.9	8	22.8	10.8	25	13.1	27	16.3	27.7	17.8
NorahHead	-33.2667	151.5333	26.9	20.1	26.7	20.3	25.6	19.2	23.1	16.3	20.5	13.1	18.1	11.4	17.5	9.9	19	10.7	21.3	12.9	23.1	14.9	24.5	17.3	25	18.5
NorfolkIsland	-29.0408	167.9547	24.7	19.6	25.4	20.6	24.7	19.6	23.5	18.5	21.2	16.5	19.5	15.2	18.6	14	18.7	13.8	19.5	14.6	20.4	15.2	21.9	16.3	24	18.5
Penrith	-33.7511	150.6949	31.4	18.9	29.7	18.9	27.7	17.1	24.4	13.5	21.2	9	17.9	7.5	17.9	5.6	20	6.2	23.4	9.4	26	12.1	28.6	15.8	29.4	17.3
Richmond	-33.589	150.7494	30.7	18.1	29.5	18.2	27.4	16.2	24.3	12.3	21	7.1	18	6	17.8	4.1	19.9	4.6	23	8	25.4	11	28.4	15	28.8	16.5
Sydney	-33.8688	151.2093	27.5	20.3	26.9	20.2	25.9	18.9	23.5	15.4	21.2	12.1	18.4	10.5	18	9	19.3	9.7	22	12.6	23.5	14.8	24.9	17.4	25.8	18.6
SydneyAirport	-33.9461	151.1772	28.2	20.2	27.6	20.4	26.4	19	23.6	15.6	21	12	18.3	10.3	18	8.9	19.5	9.7	22.2	12.5	23.9	14.6	25.7	17.4	26.6	18.7
WaggaWagga	-35.1268	147.3496	33.4	17.4	31.5	17.3	28	14.2	23.3	9.9	18	5.7	14.3	3.9	13.4	3.5	15	3.6	18.5	5.2	23.4	8	28.2	12.5	30.3	14.9
Williamtown	-32.7964	151.8583	29.5	18.7	28.9	18.5	27.2	16.8	24	13.5	21.1	10.1	18.3	8.7	17.8	7	19.7	7	22.7	9.6	24.9	11.7	27	15.3	27.7	16.9
Wollongong	-34.4278	150.8931	25.2	19.3	24.9	19.4	24.2	18.5	22.2	15.8	20	13.2	17.6	11.4	17.1	10.3	18.2	10.8	20.2	12.6	21.6	14.2	22.8	16.4	23.8	17.5
Canberra	-35.2809	149.13	30.1	14.1	27.7	13.6	25.3	11.2	20.6	6.8	16.7	2.3	13.5	1.5	12.4	0.3	14.1	0.9	17.7	3.1	21.2	5.8	25.3	10	26.9	12
Tuggeranong	-35.3923	149.089	29.8	14.7	27.8	14.4	24.9	11.9	20.5	7.4	16.4	2.5	13.1	1.6	12.3	0.5	14	1.2	17.6	3.6	20.9	6.4	25.2	10.3	26.8	12.5
MountGinini	-35.6078	148.9833	20.6	9.8	19.1	9.2	16	7.3	11.5	4	7.4	1	4.1	-0.9	2.5	-2.2	4	-2	8.6	0.3	12.4	2.7	16	6.1	17.6	7
Ballarat	-37.561	143.8503	26.8	11.9	26.3	12.3	23	10.7	18.4	7.9	14.2	5.4	11.2	3.5	10.5	3.4	11.7	3.7	14.4	4.9	17.8	6.2	21.3	8.6	23.9	9.7
Bendigo	-36.7583	144.28	30.9	14.7	30	15	26.4	12.6	21.6	9.1	16.9	5.6	13.6	3.6	12.7	3.3	14.2	3.6	17.4	5	21.8	7.3	25.9	10.8	28.1	12.6
Sale	-38.1045	147.0669	26.5	13.6	25.6	13.9	24.4	12.3	20.7	9.2	17.3	5.9	14.4	3.9	14.4	3.8	15.5	4.3	17.8	6	20.1	7.8	22.6	10.4	24.5	12
MelbourneAirport	-37.675	144.843	27.5	14.5	27.2	14.6	24.9	13.4	20.8	10.7	17	8.2	14.1	6.2	13.6	6	14.8	6.4	17.5	7.6	20.5	8.7	23.2	11.2	25.5	12.5
Melbourne	-37.8136	144.9631	27.5	16.5	27.1	16.5	25.4	15.5	21.5	12.7	17.8	10.1	15.1	7.9	14.8	7.8	15.9	8.3	18.6	10	20.8	11	23.5	13.4	24.9	14.5
Mildura	-34.1856	142.1625	33.8	17.6	33	17.3	29.2	14.6	24.3	10.6	19.7	7.5	16.3	5.1	16	4.4	18.2	5.5	21.7	7.5	25.9	10.2	29.5	13.6	31.5	15.6
Nhil	-36.3819	141.7918	31.3	14.3	30.8	13.7	27.7	12.6	22.2	9.4	17.9	7.8	14.5	5	13.6	4.8	15.5	4.7	18.5	6.3	23.5	7.8	25.7	9.5	29.7	12.6
Portland	-38.3496	141.6055	22.9	12.5	22.7	13.2	21.5	12.1	18.8	10.1	15.9	8.6	13.9	6.8	13.2	6.7	14.2	7.2	15.7	7.7	17.6	8.6	19.5	10.4	21.1	11.2
Watsonia	-37.713	145.0646	28.1	14.7	27.8	14.7	25.5	13.3	21.2	10.5	17.2	8	14.3	6	14	6.2	15.1	6.8	17.7	8.1	20.7	9.1	23.8	11.6	26.2	13
Dartmoor	-37.885	141.469	26.7	12.4	26.2	12.7	23.9	11.3	20.1	9	16.3	7.5	14	5.6	13.5	5.5	14.7	6.1	16.5	6.9	19.4	7.6	22.5	9.6	24.8	10.7
Brisbane	-27.4698	153.0251	30.4	21.7	30.6	21.6	29.2	20.5	27.2	17.5	24.4	14	21.7	12.1	21.6	10.7	23.3	11	25.4	13.9	26.8	15.9	28.7	19.3	29.3	20.4
Cairns	-16.9203	145.771	31.8	24.1	31.6	24.1	31.1	23.7	29.8	22.2	28.1	20.4	26.8	18.5	26.5	17.9	27.4	17.4	29	19.3	29.9	20.7	31	22.5	31.9	23.7
GoldCoast	-28.0167	153.4	29.3	22	29.4	22	28.5	21.3	26.7	18.3	23.9	15.3	21.5	13.3	21.3	12.1	22.7	12.6	24.4	14.9	25.8	16.6	27.5	19.5	28.3	20.6
Townsville	-19.2589	146.8169	31.9	24.9	31.7	24.6	31	23.7	30.2	21.4	28	18.2	26.1	15.4	25.7	14.8	26.6	14.9	28.6	18.7	29.8	20.7	30.9	23.1	32	24.7
Adelaide	-34.9285	138.6007	31	18.1	30.1	17.8	27.1	16	23.3	12.9	19.2	10.7	16.2	8.2	15.4	7.9	16.7	8.1	19.7	10.1	23.2	11.9	26.5	14.5	28.2	16
MountGambier	-37.8297	140.782	26.6	12.1	26.4	12.4	24	11.4	20.2	9.4	16.4	8	14.1	6	13.6	5.8	14.7	6.2	16.5	6.9	19.2	7.6	22.3	9.4	24.1	10.5
Nuriootpa	-34.455	138.955	30.5	14.6	29.5	14.8	26.1	12.7	21.9	9.6	17.4	7.3	14.1	5	13.4	5.1	14.8	5.2	17.7	6.5	22	8.4	26	10.9	27.8	12.7
Woomera	-30.85	136.783	35.9	20.6	34.7	20	30.8	17.6	25.9	14	21	10	17.5	6.9	17.4	5.9	20.1	7.2	23.9	10.1	28.1	13.4	31.6	16.7	33.6	18.6
Albany	-35.0261	117.8836	23.3	16.8	23	17.1	22.6	16	21.2	14.3	19.3	11.6	17.8	10.3	16.7	9.2	17.4	9.3	17.8	10	19.3	12	21	13.8	21.1	15
Witchcliffe	-34.0883	115.9667	27.5	14.3	27.6	14.7	25.7	13.3	22.7	11.5	19.6	9.2	17.5	9	16.4	7.8	17.1	8.4	17.6	8.4	20.5	9.5	23.3	10.9	25	12.4
PearceRAAF	-31.9403	115.967	34.5	18	33.8	18.1	31.1	16.2	27.4	13.6	22.6	10	19.7	8.7	18.2	7.2	19.5	8.4	20.6	8.7	25	10.6	29	13.1	31.6	15.1
PerthAirport	-31.9403	115.697	33.3	18.4	32.7	18.3	30.2	16.4	26.7	13.7	22.4	10.2	19.8	8.8	18.4	7.4	19.7	8.6	20.8	9	24.6	11.1	27.9	13.6	30.5	15.7
Perth	-31.9523	115.8613	32.4	18.9	32.1	18.7	29.8	17	26.4	14.2	22.3	10.3	19.7	8.8	18.4	7.4	19.7	8.5	20.7	9.7	24.3	12.1	27	14.4	29.4	16.4
SalmonGums	-31.6167	121.9833	31.6	14.6	30.1	14.5	27.4	12.9	24.8	10.1	20.3	6.8	17.7	5.8	16.5	4.8	18.6	5.3	20.8	5.2	25.6	8.4	27.9	10.9	29.6	12.2
