Location	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	x	R_sm	R_la
Albury	10	9	15	20	26	29	52	43	22	5	5	10	23	16	10	9	304	26	52
BadgerysCreek	34	24	9	6	7	7	11	10	17	26	77	35	14	9	10	14	310	38.5	77
Cobar	24	32	38	36	37	24	21	24	32	24	17	13	10	8	10	12	362	19	38
CoffsHarbour	27	12	8	2	3	7	6	7	12	20	87	48	13	13	30	29	324	43.5	87
Moree	25	69	53	43	56	17	11	5	11	19	15	9	7	4	4	4	352	34.5	69
Newcastle	13	0	34	0	0	0	43	0	3	0	24	0	4	0	70	1	192	35	70
NorahHead	31	28	13	6	4	8	10	16	24	38	28	34	31	31	27	22	351	19	38
NorfolkIsland	10	18	23	26	50	45	40	22	21	18	17	18	14	16	13	9	360	25	50
Penrith	39	22	12	6	5	9	18	22	36	52	24	8	8	8	12	16	297	26	52
Richmond	22	28	26	12	10	9	10	14	21	38	22	11	10	9	9	12	263	19	38
Sydney	11	10	9	9	16	15	11	14	17	21	6	11	134	54	9	11	358	67	134
SydneyAirport	23	15	9	3	7	6	11	13	28	33	15	23	32	42	77	25	362	38.5	77
WaggaWagga	16	10	20	78	92	28	7	5	3	2	8	17	20	18	14	12	350	46	92
Williamtown	15	16	16	10	8	7	12	12	14	12	14	20	22	91	65	21	355	45.5	91
Wollongong	25	24	21	10	9	8	14	15	32	45	49	24	21	15	23	15	350	24.5	49
Canberra	22	11	9	10	15	21	31	33	28	13	11	6	9	18	36	36	309	18	36
Tuggeranong	22	9	12	17	10	8	10	18	30	17	13	16	22	27	31	26	288	15.5	31
MountGinini	9	9	12	18	21	20	7	7	7	18	29	41	56	38	29	14	335	28	56
Ballarat	70	55	8	4	4	17	31	24	34	21	19	23	16	8	7	13	354	35	70
Bendigo	14	12	19	19	17	21	44	61	24	16	23	13	14	16	13	10	336	30.5	61
Sale	14	11	10	17	15	7	5	7	7	9	12	24	79	73	47	19	356	39.5	79
MelbourneAirport	123	15	5	3	2	2	10	15	17	24	34	36	33	14	9	18	360	61.5	123
Melbourne	116	20	8	3	3	2	11	16	18	23	32	34	32	15	11	17	361	58	116
Mildura	26	38	20	16	16	14	29	35	40	30	18	13	19	14	13	13	354	20	40
Nhil	26	21	22	25	21	14	12	32	35	22	22	18	21	14	25	24	354	17.5	35
Portland	60	16	10	17	16	14	22	17	17	18	27	30	21	16	18	37	356	30	60
Watsonia	38	28	42	42	19	8	7	16	17	16	20	26	28	10	10	17	344	21	42
Dartmoor	44	24	10	15	20	18	11	14	17	14	12	14	13	19	21	31	297	22	44
Brisbane	12	11	11	14	16	18	25	21	20	38	79	43	23	9	9	9	358	39.5	79
Cairns	5	3	5	3	7	13	56	158	81	3	2	3	7	5	5	4	360	79	158
GoldCoast	18	11	9	8	10	12	25	71	63	17	6	6	13	21	48	20	358	35.5	71
Townsville	11	8	14	32	24	53	69	41	22	29	14	5	6	4	9	10	351	34.5	69
Adelaide	46	48	43	16	10	11	12	14	21	22	28	15	10	13	10	15	334	24	48
MountGambier	50	36	21	9	14	14	21	20	17	18	27	22	22	14	18	34	357	25	50
Nuriootpa	21	26	55	35	27	27	18	10	6	9	20	24	25	23	13	10	349	27.5	55
Woomera	31	26	21	16	28	34	47	40	32	21	14	15	13	8	6	8	360	23.5	47
Albany	27	17	15	15	24	15	22	12	21	21	25	25	20	12	37	28	336	18.5	37
Witchcliffe	33	19	10	15	27	29	49	29	20	16	17	13	17	13	16	9	332	24.5	49
PearceRAAF	36	21	24	43	53	30	18	14	28	18	12	11	9	8	10	19	354	26.5	53
PerthAirport	28	40	39	72	48	17	11	13	24	19	11	10	9	8	6	7	362	36	72
Perth	12	28	46	41	55	29	21	27	23	13	12	11	13	9	7	4	351	27.5	55
SalmonGums	37	31	31	25	21	15	17	14	14	18	14	15	25	27	24	26	354	18.5	37
Walpole	19	21	22	31	24	17	16	12	14	13	16	16	17	28	44	20	330	22	44
Hobart	45	11	9	6	7	7	9	8	12	19	15	12	7	9	51	134	361	67	134
Launceston	22	7	6	13	31	21	24	28	6	3	2	3	5	15	50	72	308	36	72
AliceSprings	22	13	18	30	58	60	36	17	12	9	9	8	11	8	11	16	338	30	60
Darwin	14	13	22	30	54	40	55	20	17	10	11	13	23	18	8	12	360	27.5	55
Katherine	19	10	12	17	27	58	63	9	6	5	4	7	17	37	40	24	355	31.5	63
Uluru	9	6	14	29	89	83	47	24	20	9	3	1	2	2	6	5	349	44.5	89
Angle	0	22.5	45	67.5	90	112.5	135	157.5	180	202.5	225	247.5	270	292.5	315	337.5			
